"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.10329018209338e-32,13.3780934166972,0.265,0.171,1.53098705462801e-28,"0","DDX18"
1.03934053546377e-43,13.3571943898114,0.252,0.207,3.11802160639132e-40,"0","ARL6IP4"
1.92751136314952e-141,12.733513306668,0.269,0.127,5.78253408944856e-138,"0","NUBP2"
1.16739231471362e-234,12.1632675304686,0.27,0.105,3.50217694414086e-231,"0","CAMK4"
0.000132199404761344,11.2135624683677,0.295,0.314,0.396598214284033,"0","HMGN2"
4.90865478695189e-60,16.6378278498789,0.49,0.2,1.47259643608557e-56,"1","CAPG"
7.02046471353234e-19,15.8351785510939,0.31,0.136,2.1061394140597e-15,"1","SMCO4"
3.15081415882991e-86,15.1556506403705,0.485,0.165,9.45244247648972e-83,"1","MGST1"
2.83392058328865e-07,14.7951560512031,0.186,0.295,0.000850176174986594,"1","IFI16"
2.1957240034387e-65,14.3089296517666,0.474,0.166,6.5871720103161e-62,"1","SLC7A11"
1.94594101289311e-26,18.9676824330917,0.455,0.345,5.83782303867934e-23,"2","COMMD6"
3.19858728546347e-101,14.9553061556139,0.274,0.153,9.59576185639041e-98,"2","HPS4"
5.73694997921057e-25,14.6611691334479,0.346,0.256,1.72108499376317e-21,"2","SNU13"
2.50892534581243e-09,14.654226008938,0.283,0.225,7.52677603743728e-06,"2","SMDT1"
1.82849070066501e-63,13.5134137195836,0.295,0.127,5.48547210199502e-60,"2","PLK3"
0,14.6196877755968,0.791,0.18,0,"3","IER3"
1.72022712271671e-149,13.603830872402,0.259,0.138,5.16068136815014e-146,"3","IL19"
8.18328057038061e-13,13.2192804365623,0.404,0.143,2.45498417111418e-09,"3","CCRL2"
9.01368795504945e-43,12.6253580078055,0.534,0.178,2.70410638651484e-39,"3","LILRB4"
0,11.7448818267462,0.812,0.231,0,"3","CTSB"
0,23.473504443337,0.449,0.087,0,"4","HSPH1"
0,21.8861075501365,0.77,0.334,0,"4","UBC"
0,21.6606653552687,0.689,0.348,0,"4","HSPA8"
2.77658858146468e-255,18.2632285833084,0.611,0.319,8.32976574439403e-252,"4","HSP90AB1"
0,17.5169484898061,0.608,0.223,0,"4","CACYBP"
1.46676256922459e-06,13.980130878317,0.23,0.308,0.00440028770767376,"5","CD164"
2.35906518667595e-26,12.9629759867294,0.255,0.14,7.07719556002784e-23,"5","POLR2H"
5.49196668063187e-125,12.5784644507553,0.273,0.149,1.64759000418956e-121,"5","IDH2"
5.03357957353734e-80,12.4161240330211,0.47,0.121,1.5100738720612e-76,"5","PLEKHF1"
4.52849076405893e-11,10.6263878703019,0.297,0.336,1.35854722921768e-07,"5","ZFP36"
5.23845486670958e-182,14.6604571563153,0.644,0.263,1.57153646001287e-178,"6","SELL"
0.000113828965990338,13.6918800139002,0.426,0.343,0.341486897971015,"6","CLEC2D"
4.94611952604327e-26,13.1952922993422,0.29,0.146,1.48383585781298e-22,"6","CDIPT"
2.08683796877107e-07,11.0483483235424,0.375,0.188,0.000626051390631322,"6","DNPH1"
8.09762301904596e-29,8.21797407791986,0.295,0.355,2.42928690571379e-25,"6","PGK1"
8.41338163142606e-41,15.7749078863091,0.286,0.145,2.52401448942782e-37,"7","FAAP20"
4.1040311377388e-50,15.4600552173572,0.267,0.211,1.23120934132164e-46,"7","TAPBP"
0.000171166506863258,11.6161827316555,0.409,0.33,0.513499520589775,"7","CIB1"
7.55317339058531e-68,9.12096251195008,0.437,0.2,2.26595201717559e-64,"7","SNX2"
5.27925211689742e-134,8.71526699385462,0.335,0.031,1.58377563506922e-130,"7","IGHA2"
8.87203765773808e-78,14.6707743982011,0.272,0.091,2.66161129732142e-74,"8","FBXO34"
6.03936370303342e-75,14.3492234117395,0.334,0.133,1.81180911091003e-71,"8","ECHS1"
1.32122489653775e-174,13.5149852666004,0.379,0.096,3.96367468961326e-171,"8","TAPBPL"
7.03191984478301e-12,12.606837619769,0.325,0.316,2.1095759534349e-08,"8","PAIP2"
8.54973325500618e-37,12.4430446841405,0.316,0.252,2.56491997650185e-33,"8","WDR83OS"
2.37773653476639e-16,17.4366558531126,0.379,0.292,7.13320960429918e-13,"9","NDUFB8"
7.58032806043878e-38,14.0687861720403,0.394,0.32,2.27409841813164e-34,"9","SLC3A2"
0.00578441228761493,12.5363515343555,0.411,0.361,1,"9","CNBP"
7.84982801251689e-12,10.6259015687363,0.25,0.187,2.35494840375507e-08,"9","NDUFB10"
1.95768730928511e-123,10.2218184829904,0.347,0.157,5.87306192785533e-120,"9","SPHK1"
6.79027388205273e-38,21.2383796825429,0.536,0.052,2.03708216461582e-34,"10","PPM1N"
1.25185382245386e-06,15.0952099856079,0.369,0.046,0.00375556146736158,"10","LILRA5"
0,14.767731288535,0.957,0.161,0,"10","MS4A7"
3.61779485060631e-31,13.0538550957594,0.549,0.139,1.08533845518189e-27,"10","SLC31A2"
0,12.9982632380744,0.934,0.178,0,"10","CXCL16"
5.29499326263134e-11,14.0730835921597,0.355,0.313,1.5884979787894e-07,"11","DAD1"
2.78681267683705e-60,12.6678841348815,0.411,0.157,8.36043803051115e-57,"11","CTSH"
8.45172993475811e-07,12.3511713590559,0.261,0.187,0.00253551898042743,"11","SH3BGRL"
3.69339695988814e-13,10.8546988203652,0.283,0.036,1.10801908796644e-09,"11","BLNK"
0.000279276388754693,9.47557081182259,0.473,0.339,0.837829166264078,"11","HMGN1"
1.87769433188556e-109,18.3014408880246,0.478,0.189,5.63308299565669e-106,"12","AC004687.1"
1.37887309602454e-56,16.9514739133406,0.376,0.148,4.13661928807361e-53,"12","AC245297.3"
9.73163840064725e-26,16.0385407241676,0.321,0.177,2.91949152019418e-22,"12","LINC00623"
1.02896109743167e-106,12.1017635876798,0.367,0.11,3.086883292295e-103,"12","ZNF224"
3.06842237237375e-43,11.5671969120205,0.267,0.195,9.20526711712125e-40,"12","DYNLRB1"
9.56626916366277e-36,14.1303008113024,0.521,0.075,2.86988074909883e-32,"13","TVP23A"
2.05216841529585e-35,13.4554628964298,0.511,0.135,6.15650524588754e-32,"13","APEX1"
9.15937663129532e-40,11.349067506046,0.59,0.108,2.7478129893886e-36,"13","RPL22L1"
6.54879968819173e-57,11.0670333876104,0.65,0.284,1.96463990645752e-53,"13","HSPA5"
2.26650929195421e-170,10.1786563836414,0.806,0.074,6.79952787586264e-167,"13","MIR155HG"
7.94433532528377e-69,20.0557346712009,0.715,0.084,2.38330059758513e-65,"14","GSN"
1.11226905415025e-280,18.7969851898017,0.998,0.256,3.33680716245074e-277,"14","HLA-DPA1"
8.88423006849745e-108,17.2953081602257,0.8,0.228,2.66526902054923e-104,"14","CFP"
9.70618990985413e-48,16.722160216942,0.669,0.041,2.91185697295624e-44,"14","CCL22"
5.8326975256862e-280,14.6163303283617,0.998,0.266,1.74980925770586e-276,"14","HLA-DPB1"
8.75646677396767e-15,20.8619759948397,0.453,0.279,2.6269400321903e-11,"15","RAP1B"
3.12283709607243e-43,17.576375399773,0.519,0.026,9.36851128821729e-40,"15","PTCRA"
1.26327578578389e-31,16.4833238052714,0.713,0.427,3.78982735735166e-28,"15","MYL12A"
2.12783463610925e-36,15.6389423386102,0.612,0.255,6.38350390832774e-33,"15","TAGLN2"
1.02403601543461e-29,13.8861110197339,0.588,0.282,3.07210804630384e-26,"15","RGS10"
2.88888616728717e-24,15.0147874984301,0.734,0.094,8.6666585018615e-21,"16","AKR1C3"
1.04089176160809e-58,12.0073411756168,0.911,0.088,3.12267528482427e-55,"16","TNFRSF4"
1.07583023268661e-64,11.3697873892755,0.935,0.048,3.22749069805983e-61,"16","TSPAN13"
0.00445883260703914,11.3555634505832,0.452,0.323,1,"16","LTB"
0.000951710294980693,10.9956293703555,0.331,0.135,1,"16","PAXX"
